Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2022-W51,,,,,,X,,,,,,,,,,,
2022-W52,,,,,,,,,X,,,,,,,,
2023-W02,,,,,,,,,X,,,,,,,,
2023-W03,,,,,,X,,,X,,,,,,,,
2023-W04,,,,,,X,,,,,,,,,,,
2023-W06,,,,X,,,,,,,,,,,,,
2023-W08,X,X,,,,X,,,,,X,,X,,,,
2023-W09,,,,,,X,,,,,,,X,,,,
2023-W10,,,,,,X,,,,,,,X,,,,
2023-W12,,,,,,X,,,,X,,,X,,,,
2023-W13,,,,,,,,,,X,,,X,,,,
2023-W14,,,,,,,,,,X,,,,,,,
2023-W15,X,X,,,,,,,,X,X,,X,,,,
2023-W16,,X,,,,,,,,X,,,,,,,
2023-W20,,,,,,,,,,X,,,,,,,
2023-W21,,,,,,,,,,X,,,,,,,
