Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2021-W36,,X,X,,,X,,X,,,,,X,X,,X,
2021-W37,,X,X,,,X,,,,,X,,X,X,,X,
2021-W38,,X,X,,,X,,,,,,,X,X,,X,
2021-W40,,X,X,,,,,,,,X,,,,,,
2021-W41,,X,X,,,X,,X,,,,,X,,,X,
2021-W42,,X,X,,,X,,,,,,,X,,,X,
2021-W43,,X,,,,X,,X,,,,,X,,,X,
2021-W44,,X,,,,X,,X,,,,,X,,,X,
2021-W45,,X,,,,X,,,,,,,X,,,X,
2021-W46,,,,,,X,,X,,,,,X,,,X,
2022-W09,,X,,,,X,,,,,,,,,,,
2022-W10,,X,,,,X,,,,,,,,,,,
2022-W11,,X,,,,X,,,X,,,,,,,,
2022-W12,,X,,,,X,,,X,,,,,,,,
2022-W13,,X,,,,X,,,X,,,,,,,,
2022-W14,,X,,,,X,,,X,,,,,,,,
2022-W15,,X,,,,X,,,,,,,,,,X,
2022-W16,,X,,,,X,,,X,,,,,,,,
2022-W17,,X,,,,X,,,X,,,,,,,,
2022-W18,,X,,,,X,,,X,,,,X,,,,
2022-W19,,X,,,,X,,,X,,,,,,,X,
2022-W20,,X,,,,X,,,X,,,,,,,,
2022-W21,,X,,,,X,,,X,,X,,,,,,
2022-W22,,X,,,,X,,,,,X,,X,,,,
2022-W23,,X,,,,X,,,X,,X,,X,,,,
2022-W24,,X,,,,X,,,,,,,X,,,,
2022-W25,,X,,,,X,,X,X,,X,,,,,,
2022-W26,,X,,,,X,,,X,,,,,,,,
2022-W27,,X,,,,X,,,,,X,,,,,,
2022-W28,,X,,,,X,,,,,X,,,,,X,
2022-W29,,X,,,,,,,X,,,,,,,,
2022-W30,,X,,,,X,,,X,,,,,,,,
2022-W31,,X,,,,X,,,,,X,,,,,,
2022-W32,,X,,,,X,,,,,X,,,,,X,
2022-W33,,X,,,,X,,,X,,X,,X,,,X,
