Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2024-W10,,,,,,X,,,,X,,,,,,,X
2024-W11,,,,,,X,,,,X,X,,,,,,X
2024-W12,,,,,,X,,,,X,,,,,,,
2024-W13,,X,,,,X,,,,X,X,,,,,,X
2024-W14,,X,,,,X,,,,X,X,,,,,,X
2024-W15,,X,,,,X,,,,X,,,X,,,,X
2024-W16,,X,,,,X,,,,X,,,,,,,X
2024-W17,,X,,,,X,,,,X,,,,,,,X
2024-W19,,X,,,,,,,,X,,,,,,,X
2024-W20,,X,,,,,,,,X,,,,,,,X
2024-W21,,,,,,,,,,X,,,,,,,X
2024-W43,,X,,,,,,,,,,,,,,,
2024-W44,,X,,,,,,,,,X,,,,,,
2024-W47,,X,,,,X,,,,,,,,,,,
2024-W48,,X,,,,X,,,,,,,,,,,
2024-W49,,X,,,,X,,,,,,,X,,,,
2024-W50,,X,,,,X,,,,,X,,X,,,,
2024-W51,,X,,,,X,,,,X,X,,X,,,,X
2024-W52,,,,,,,,,,X,,,,,,,
2025-W01,,X,,,,X,,,,,,X,,,,,
2025-W02,,X,,,,X,,,,X,X,,X,,,,X
2025-W03,,X,,,,X,,,,X,X,,X,,,,X
2025-W04,,X,,,,X,,,,X,X,,X,,,,X
2025-W05,,X,,,,X,,,,X,X,,X,,,,X
2025-W06,,X,,,,X,,,X,X,,,X,,,,X
2025-W07,,X,,,,X,,,,X,,,X,,,,X
2025-W08,,X,,,,X,,,,X,,,,,,,X
2025-W09,,X,,,,X,,,,X,,,,,,,X
2025-W10,,X,,,,X,,,,X,,,X,,,,X
2025-W11,,X,,,,X,,,,X,,,X,,,,X
2025-W12,,X,,,,X,,,,X,,,,,,,X
2025-W13,,X,,,,X,,,,X,,,,,,,X
2025-W14,,X,,,,X,,,,X,,,,,,,X
2025-W15,,X,,,,X,,,,X,,,,,,,X
2025-W16,,X,,,,X,,,,X,,,,,,,X
2025-W17,,X,,,,X,,,,,,,,,,,X
2025-W18,,,,,,X,,,,,,,,,,,X
2025-W19,,,,,,X,,,,X,,,,,,,X
2025-W20,,,,,,X,,,,,,,,,,,X
2025-W44,,X,,,,X,,,,,,,,,,,
2025-W45,,X,,,,X,,,,,,,,,,,
2025-W46,,X,,,,X,,,,,,,,,,,
