Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2022-W22,,,,,,,,,,,,,,,X,,
2022-W42,,,,,,,,,X,,,,,,,,
2022-W43,,X,,,,,,,,X,,,,,,,
2022-W44,,X,,,,,,,,X,,,,,,,
2022-W45,,X,,,,,,,X,X,,,,,,,
2022-W46,,X,,,,,,,X,X,,,,,,,
2022-W47,,X,,,,,,,,X,,,,,,,
2022-W48,,X,,,,,,,X,X,,,,,,,
2022-W49,,X,,,,,,,,X,,,,,,,
2022-W50,,X,,,,,,,,X,,,,,,,
2022-W51,,X,,,,,,,,X,X,,,,,,
2022-W52,,X,,,,X,,,X,X,X,,,,,,
2023-W02,,X,,,,X,,,X,,,,,,,,
2023-W03,,X,,,,X,,,X,X,X,,,,,,
2023-W04,,X,,,,X,,,,X,X,,,,,,
2023-W05,,X,,,,X,,,X,X,X,,,,,,
2023-W06,,,,,,X,,,X,X,X,,,,,,
2023-W07,,X,,,,X,,X,X,X,X,,,,,,
2023-W08,,X,,,,X,,,,X,X,,,,,,
2023-W09,,X,,X,,X,,,X,X,X,,,,,,
2023-W10,,X,,,,X,,,X,X,X,,,,,,
2023-W11,,X,,,,X,,,X,X,X,,,,,,
2023-W12,,X,,,,,,,,,X,,,,,,X
2023-W13,,X,,,,,,,,,X,,,,,,X
2023-W14,,,,,,,,,,,X,,,,,,X
2023-W15,,,,,,,,,,,X,,X,,,,X
