Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2021-W27,,X,X,,,X,,,,X,,,X,X,,,
2021-W28,X,X,X,,,X,,,X,X,X,,,X,,X,
2021-W29,X,X,X,,,X,,,,X,X,,X,,,X,
2021-W30,,X,X,,,X,,,X,X,,,X,X,,X,X
2021-W31,X,X,X,,,X,,,X,X,X,,X,,,X,X
2021-W32,X,X,X,,,X,,,,X,X,,,,,X,X
2021-W33,X,,,,,,,,X,,,,,,,,
2021-W34,X,X,,,,,,,,X,X,,X,,,X,X
2021-W35,,X,,,,,,,X,X,,,,,,X,X
2021-W36,X,X,,,,,,X,,X,,,X,,,X,X
2021-W37,,X,,,,,,,X,X,X,,X,,,X,X
2021-W38,X,X,,,,X,,,,X,,,X,,,X,X
2021-W40,X,X,,,,,,,,X,X,,,,,,X
2021-W41,X,,,,,X,,,X,X,,,X,,,X,X
2021-W42,X,,,,,X,,,,X,,,,,,X,X
2021-W43,X,,,,,X,,,,X,,,,X,,X,X
2021-W44,,,,,,,,,,X,,,,X,,,X
2021-W45,,,,,,,,,,X,,,,,,,X
2022-W20,,X,,,,,,X,X,,,,,,,,
2022-W21,,X,,X,,X,,,X,,,,,,,,
2022-W22,,X,,X,,X,,,,X,X,,,,,,
2022-W23,,X,,,,X,,,X,X,X,,,,X,,
2022-W24,,X,,,,X,,,,X,,,,,X,,
2022-W25,,X,,,,X,,X,X,X,X,,,,,,
2022-W26,,X,,,,X,,,X,,,,,,,,
2022-W27,,X,,,,X,,,,X,X,,,,,,
2022-W28,,X,,,,X,,,,X,X,,,,,,
2022-W29,,X,,,,,,,X,X,,,,,,,
2022-W30,,X,,,,X,,,X,X,,,,,,,
2022-W31,,X,,,,,,,,X,X,,,,,,X
2022-W32,,X,,,,,,,,X,X,,,,,,X
2022-W33,,X,,,,,,,X,X,X,,X,,,,X
2022-W34,,X,,,,,,,,X,X,,X,,,,X
2022-W36,,X,,,,,,,X,X,X,,,,,,X
2022-W37,,X,,X,,X,,,X,X,X,,,,,,X
2022-W38,,X,,,,X,,,X,X,,,X,,X,,
2022-W39,,X,,X,,X,,X,X,X,,,,,,,X
2022-W40,,X,,,,X,,X,X,X,,,,,,,X
2022-W41,,X,,,,X,,,X,X,,,,,,,X
2022-W42,,,,,,X,,X,X,X,,,,,,,X
2022-W43,,,,,,X,,,,X,,,X,,,,X
2023-W22,,X,,,,X,,,,X,,,,,,,
2023-W23,,X,,,,X,,,,X,,,,,,,
2023-W24,,X,,,,X,,,,X,X,,,,,,
2023-W25,,X,,,,X,,,,X,,,,,,,X
2023-W26,,X,,,,X,,,,X,X,,,,,,X
2023-W27,,X,,,,X,,,,X,X,,,,,,X
2023-W29,,X,,,,X,,,,X,,,,,,,X
2023-W30,,,,,,,,,,X,X,,,,,,X
2023-W31,,,,,,,,,,X,,,,,,,X
2023-W32,,,,,,,,,X,X,,,,,,,X
2023-W33,,,,,,,,,,X,,,,,,,X
2023-W34,,,,,,,,,X,X,,,,,,,X
2023-W35,,,,,,,,,,X,,,,,,,X
2023-W36,,,,,,X,,,,X,,,,,,,X
2023-W37,,,,,,,,,X,X,,,,,,,X
2023-W38,,,,,,X,,,,X,,,,,,,X
2023-W39,,,,,,X,,,X,X,,,,,,,X
2023-W40,,,,,,X,,,,X,,,,,,,X
2023-W41,,,,,,X,,,,,,,,,,,X
2024-W21,,X,,,,X,,X,X,,,,,,,,
2024-W22,,X,,,,X,,,,X,,,,,,X,
2024-W23,,X,,,,X,,,,X,,,,,,X,
2024-W24,,X,,,,X,,,X,X,,,,,,X,X
2024-W25,,X,,,,X,,X,,X,,,,,,X,X
2024-W26,,X,,,,X,,X,X,X,,,,,,,X
2024-W27,,X,,,,X,,X,X,X,,,,,,,X
2024-W28,,X,,,,X,,,,X,,,,,,,X
2024-W29,,X,,,,X,,,,X,,,,,,,X
2024-W30,,X,,,,X,,,,X,,,,,,,X
2024-W31,,X,,,,X,,,,X,,,,,,X,X
2024-W32,,X,,,,X,,,,X,,,,,,,X
2024-W33,,X,,,,X,,,,X,,,,,,,X
2024-W34,,X,,,,X,,,,X,,,,,,,X
2024-W35,,X,,,,X,,,,X,,,,,,,X
2024-W36,,X,,,,X,,,,X,X,,,,,,X
2024-W37,,X,,,,X,,,,X,X,,X,,,,X
2024-W38,,X,,,,,,,,X,X,,,,,,X
2024-W39,,X,,,,X,,,,,X,,,,,,X
2024-W40,,X,,,,X,,,,,X,,,,,,X
2024-W41,,X,,,,X,,,,X,X,,,,,,X
2024-W42,,X,,,,X,,,,,,,,,,,X
2024-W43,,X,,,,X,,,,,,,,,,,X
2024-W44,,X,,,,X,,,,,,,,,,,X
2024-W45,,X,,,,X,,,,,,,,,,,
2024-W46,,,,,,X,,,,,,,,,,,
2025-W21,,X,,,,X,,,,,,,,,,,
2025-W22,,X,,,,X,,,,X,,,,,,,X
2025-W23,,X,,,,X,,,,X,,,,,,,X
2025-W24,,X,,,,X,,,,X,,,,,,,X
2025-W25,,X,,,,X,,,,X,,,,,,,X
2025-W26,,X,,,,X,,,,X,,,,,,,X
2025-W27,,X,,,,X,,,,X,,,,,,,X
2025-W28,,X,,,,,,,,X,,,,,,,X
2025-W29,,X,,,,,,,,X,,,,,,,X
2025-W30,,X,,,,,,,,X,,,,,,,X
2025-W31,,X,,,,,,,,X,,,,,,,X
2025-W32,,X,,,,,,,,X,,,,,,,X
2025-W34,,X,,,,,,,,X,,,,,,,X
2025-W35,,X,,,,,,,,,,,,,,,X
2025-W36,,X,,,,,,,,X,,,,,,,X
2025-W37,,X,,,,,,,,X,,,X,,,,X
2025-W38,,X,,,,,,,,X,,,,,,,X
2025-W39,,X,,,,,,,,X,,,,,,,X
2025-W40,,X,,,,X,,X,,X,,,X,,,X,X
2025-W41,,X,,,,X,,,,X,,,,,,,X
2025-W42,,,,,,X,,,X,X,,,X,,,,X
2025-W43,,,,,,X,,,,,,,X,,,,X
2025-W44,,,,,,X,,,X,,,,,,,,X
2025-W45,,,,,,X,,,X,,,,,,,,X
2026-W20,,X,,,,X,,,,,,,,,,,
2026-W21,,X,,,,,,X,,,,,,,,,
2026-W22,,X,,,,X,,,,,,,,,,,
2026-W24,,X,,,,X,,,X,,,,,,,,
